study_name,model,feature_set,trial_number,state,mean_average_precision,mean_roc_auc,std_average_precision,worst_fold_average_precision,std_roc_auc,worst_fold_roc_auc,mean_brier_score,mean_log_loss,total_fit_seconds,params_json,fold_metrics_json,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,param_gamma,param_min_child_weight,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_leaf_estimation_iterations,param_random_strength,is_pareto
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,0,COMPLETE,0.6379284087764849,0.8079278409920971,0.022801531371253788,0.606275815010297,0.003908281775821601,0.8032959512964081,0.15732035969375446,0.4772792617236401,37.09273049997864,"{""colsample_bytree"": 0.61707333873716, ""learning_rate"": 0.04368603396346, ""max_bin"": 127, ""max_depth"": 6, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 64, ""reg_alpha"": 0.0791642415963725, ""reg_lambda"": 1.8785247962501367e-06, ""subsample"": 0.6133349078437057}","[{""average_precision"": 0.606275815010297, ""roc_auc"": 0.8032959512964081, ""brier_score"": 0.1543594206428307, ""log_loss"": 0.47035930554388033, ""fold"": 1, ""fit_seconds"": 8.19152860000031}, {""average_precision"": 0.6266568610247114, ""roc_auc"": 0.8107777055354074, ""brier_score"": 0.15348557816315214, ""log_loss"": 0.46662266837432437, ""fold"": 2, ""fit_seconds"": 7.316248099989025}, {""average_precision"": 0.6555522580643758, ""roc_auc"": 0.804950085749796, ""brier_score"": 0.16311172924585585, ""log_loss"": 0.4920200482427088, ""fold"": 3, ""fit_seconds"": 11.157842599990545}, {""average_precision"": 0.6632287010065554, ""roc_auc"": 0.8126876213867769, ""brier_score"": 0.1583247107231792, ""log_loss"": 0.48011502473364703, ""fold"": 4, ""fit_seconds"": 10.427111199998762}]",0.61707333873716,0.04368603396346,127.0,6.0,10.0,300.0,64.0,0.0791642415963725,1.8785247962501367e-06,0.6133349078437057,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,1,COMPLETE,0.629771697844312,0.8043823783879266,0.02618679098692403,0.5946386245834814,0.004290782918498185,0.7994979556792964,0.15846506457205076,0.4804334556775879,42.32712640002137,"{""colsample_bytree"": 0.8342646884018552, ""learning_rate"": 0.11129307428188409, ""max_bin"": 127, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 700, ""num_leaves"": 71, ""reg_alpha"": 0.026261226317146478, ""reg_lambda"": 0.027561461894243276, ""subsample"": 0.6085806466990736}","[{""average_precision"": 0.5946386245834814, ""roc_auc"": 0.7994979556792964, ""brier_score"": 0.15577655441050414, ""log_loss"": 0.4741257153068778, ""fold"": 1, ""fit_seconds"": 8.719354400003795}, {""average_precision"": 0.6150691845822365, ""roc_auc"": 0.8068621045609798, ""brier_score"": 0.15456637164401324, ""log_loss"": 0.46934427851690746, ""fold"": 2, ""fit_seconds"": 9.585769500001334}, {""average_precision"": 0.649654487940029, ""roc_auc"": 0.8010711159940225, ""brier_score"": 0.16433776281223397, ""log_loss"": 0.4955751437284496, ""fold"": 3, ""fit_seconds"": 11.601447300025029}, {""average_precision"": 0.6597244942715013, ""roc_auc"": 0.8100983373174074, ""brier_score"": 0.15917956942145162, ""log_loss"": 0.4826886851581167, ""fold"": 4, ""fit_seconds"": 12.420555199991213}]",0.8342646884018552,0.11129307428188409,127.0,4.0,20.0,700.0,71.0,0.026261226317146478,0.027561461894243276,0.6085806466990736,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,2,COMPLETE,0.6368465862811687,0.8059994902424551,0.022304977606196905,0.6087086296604713,0.003924956398987708,0.8014371934047622,0.15836201232717176,0.4803103552387592,35.56740510003874,"{""colsample_bytree"": 0.9803819977237177, ""learning_rate"": 0.030714604638515372, ""max_bin"": 127, ""max_depth"": 10, ""min_child_samples"": 40, ""n_estimators"": 150, ""num_leaves"": 52, ""reg_alpha"": 0.014338015654728526, ""reg_lambda"": 0.0004090104219814641, ""subsample"": 0.7092349263464902}","[{""average_precision"": 0.6087086296604713, ""roc_auc"": 0.8014371934047622, ""brier_score"": 0.15546910564654606, ""log_loss"": 0.4734652527763758, ""fold"": 1, ""fit_seconds"": 6.808621000003768}, {""average_precision"": 0.6214742826825148, ""roc_auc"": 0.8088926618362365, ""brier_score"": 0.15454813594729233, ""log_loss"": 0.4697317248199483, ""fold"": 2, ""fit_seconds"": 7.7918237000121735}, {""average_precision"": 0.6558246305840574, ""roc_auc"": 0.8028943100371694, ""brier_score"": 0.16386046675468963, ""log_loss"": 0.49431714584918746, ""fold"": 3, ""fit_seconds"": 9.762438100005966}, {""average_precision"": 0.6613788021976313, ""roc_auc"": 0.8107737956916522, ""brier_score"": 0.15957034096015904, ""log_loss"": 0.48372729750952526, ""fold"": 4, ""fit_seconds"": 11.204522300016833}]",0.9803819977237177,0.030714604638515372,127.0,10.0,40.0,150.0,52.0,0.014338015654728526,0.0004090104219814641,0.7092349263464902,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,3,COMPLETE,0.6306592550477841,0.8022386636083,0.022389674480108757,0.6002953157097622,0.004488994860883057,0.7972114583465502,0.15949545453996472,0.48355862610929834,29.253667199984193,"{""colsample_bytree"": 0.6434048974514708, ""learning_rate"": 0.031005395001453, ""max_bin"": 255, ""max_depth"": 4, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 82, ""reg_alpha"": 2.8463055677008128e-06, ""reg_lambda"": 0.16115110751651748, ""subsample"": 0.9056287351484167}","[{""average_precision"": 0.6002953157097622, ""roc_auc"": 0.7972114583465502, ""brier_score"": 0.15629350692194474, ""log_loss"": 0.47629266863487274, ""fold"": 1, ""fit_seconds"": 6.029903899994679}, {""average_precision"": 0.6186691124311627, ""roc_auc"": 0.8055509351250294, ""brier_score"": 0.15543748634385976, ""log_loss"": 0.4723452417733079, ""fold"": 2, ""fit_seconds"": 6.507477800012566}, {""average_precision"": 0.6472252423439704, ""roc_auc"": 0.7984652631093054, ""brier_score"": 0.16564751082816978, ""log_loss"": 0.49899090772795196, ""fold"": 3, ""fit_seconds"": 7.986375999986194}, {""average_precision"": 0.6564473497062411, ""roc_auc"": 0.8077269978523146, ""brier_score"": 0.16060331406588457, ""log_loss"": 0.4866056863010609, ""fold"": 4, ""fit_seconds"": 8.729909499990754}]",0.6434048974514708,0.031005395001453,255.0,4.0,10.0,300.0,82.0,2.8463055677008128e-06,0.16115110751651748,0.9056287351484167,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,4,COMPLETE,0.6406364553214035,0.8093430493062431,0.023303306109859385,0.6103506954609375,0.003803133537163206,0.8048697791577772,0.15680146710202117,0.47598788430607963,120.24186169996392,"{""colsample_bytree"": 0.8330710098059156, ""learning_rate"": 0.01547953885936384, ""max_bin"": 127, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 700, ""num_leaves"": 79, ""reg_alpha"": 0.00013822600436602883, ""reg_lambda"": 0.08888811526196737, ""subsample"": 0.8734859791116134}","[{""average_precision"": 0.6103506954609375, ""roc_auc"": 0.8048697791577772, ""brier_score"": 0.15401949278635618, ""log_loss"": 0.4695727978050541, ""fold"": 1, ""fit_seconds"": 24.419848299992736}, {""average_precision"": 0.6259756442509431, ""roc_auc"": 0.8120976427280442, ""brier_score"": 0.1528988787573141, ""log_loss"": 0.4650666457792222, ""fold"": 2, ""fit_seconds"": 25.96217919999617}, {""average_precision"": 0.6592424063168925, ""roc_auc"": 0.8064089431121841, ""brier_score"": 0.16251629286973712, ""log_loss"": 0.4904667045955368, ""fold"": 3, ""fit_seconds"": 30.9298817999952}, {""average_precision"": 0.6669770752568407, ""roc_auc"": 0.8139958322269671, ""brier_score"": 0.15777120399467726, ""log_loss"": 0.4788453890445054, ""fold"": 4, ""fit_seconds"": 38.92995239997981}]",0.8330710098059156,0.01547953885936384,127.0,-1.0,20.0,700.0,79.0,0.00013822600436602883,0.08888811526196737,0.8734859791116134,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,5,COMPLETE,0.6258717872113811,0.8037805659193603,0.027163044639379155,0.589963404451587,0.004527748511824838,0.7995878271635944,0.15905884275935994,0.48230755664310887,60.1519152999972,"{""colsample_bytree"": 0.619328093716305, ""learning_rate"": 0.0981729068834458, ""max_bin"": 255, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 550, ""num_leaves"": 25, ""reg_alpha"": 2.4354940782836254e-07, ""reg_lambda"": 0.0022542184174673763, ""subsample"": 0.7664433874697665}","[{""average_precision"": 0.589963404451587, ""roc_auc"": 0.7995939393609828, ""brier_score"": 0.15641318764895018, ""log_loss"": 0.4764138375134172, ""fold"": 1, ""fit_seconds"": 13.110520300018834}, {""average_precision"": 0.610452151910765, ""roc_auc"": 0.8055424672232229, ""brier_score"": 0.1554767828371833, ""log_loss"": 0.47234456029983357, ""fold"": 2, ""fit_seconds"": 10.414881599979708}, {""average_precision"": 0.64422607148306, ""roc_auc"": 0.7995878271635944, ""brier_score"": 0.1650599654721524, ""log_loss"": 0.49743869890308895, ""fold"": 3, ""fit_seconds"": 16.62683319998905}, {""average_precision"": 0.6588455210001126, ""roc_auc"": 0.8103980299296412, ""brier_score"": 0.15928543507915383, ""log_loss"": 0.4830331298560956, ""fold"": 4, ""fit_seconds"": 19.999680200009607}]",0.619328093716305,0.0981729068834458,255.0,10.0,20.0,550.0,25.0,2.4354940782836254e-07,0.0022542184174673763,0.7664433874697665,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,6,COMPLETE,0.6346004878838658,0.8068670516647933,0.024045948158505578,0.6032072828696391,0.0045275797639394285,0.8021127406464849,0.15796548843343705,0.4791400603652634,111.57024850000744,"{""colsample_bytree"": 0.7363450022716179, ""learning_rate"": 0.02884925547308702, ""max_bin"": 255, ""max_depth"": -1, ""min_child_samples"": 85, ""n_estimators"": 650, ""num_leaves"": 99, ""reg_alpha"": 1.7679614270730655e-08, ""reg_lambda"": 4.2752901900186454e-07, ""subsample"": 0.824785227036021}","[{""average_precision"": 0.6032072828696391, ""roc_auc"": 0.8021127406464849, ""brier_score"": 0.15543742305458835, ""log_loss"": 0.4735927137475206, ""fold"": 1, ""fit_seconds"": 24.39436380000552}, {""average_precision"": 0.6204666114536668, ""roc_auc"": 0.8093550620493302, ""brier_score"": 0.1541801112394177, ""log_loss"": 0.46836872423404996, ""fold"": 2, ""fit_seconds"": 26.780450699996436}, {""average_precision"": 0.6506122460661468, ""roc_auc"": 0.8029685926038733, ""brier_score"": 0.16421243005685673, ""log_loss"": 0.49467834415912076, ""fold"": 3, ""fit_seconds"": 27.231766300013987}, {""average_precision"": 0.6641158111460106, ""roc_auc"": 0.8130318113594849, ""brier_score"": 0.15803198938288543, ""log_loss"": 0.47992045932036226, ""fold"": 4, ""fit_seconds"": 33.16366769999149}]",0.7363450022716179,0.02884925547308702,255.0,-1.0,85.0,650.0,99.0,1.7679614270730655e-08,4.2752901900186454e-07,0.824785227036021,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,7,COMPLETE,0.6419822404235278,0.8099005133357559,0.024060322209802445,0.6098379013859339,0.003701320135271777,0.8050790267257094,0.1566550722948324,0.4753761157964344,111.4226486000407,"{""colsample_bytree"": 0.6246704442970388, ""learning_rate"": 0.01679103207874984, ""max_bin"": 255, ""max_depth"": 8, ""min_child_samples"": 70, ""n_estimators"": 650, ""num_leaves"": 125, ""reg_alpha"": 1.9924625905590968e-05, ""reg_lambda"": 0.0001246120302717499, ""subsample"": 0.6481747206314162}","[{""average_precision"": 0.6098379013859339, ""roc_auc"": 0.8050790267257094, ""brier_score"": 0.15394048092296428, ""log_loss"": 0.46904194544245853, ""fold"": 1, ""fit_seconds"": 18.758917400002247}, {""average_precision"": 0.6280795963257007, ""roc_auc"": 0.8123107435940442, ""brier_score"": 0.15292442193261638, ""log_loss"": 0.46479442188832776, ""fold"": 2, ""fit_seconds"": 22.718518300011056}, {""average_precision"": 0.6612049395510659, ""roc_auc"": 0.8077270838508883, ""brier_score"": 0.1622914999006529, ""log_loss"": 0.48965056560297254, ""fold"": 3, ""fit_seconds"": 27.79141490001348}, {""average_precision"": 0.6688065244314108, ""roc_auc"": 0.8144851991723815, ""brier_score"": 0.15746388642309594, ""log_loss"": 0.47801753025197874, ""fold"": 4, ""fit_seconds"": 42.15379800001392}]",0.6246704442970388,0.01679103207874984,255.0,8.0,70.0,650.0,125.0,1.9924625905590968e-05,0.0001246120302717499,0.6481747206314162,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,8,COMPLETE,0.6376524799204232,0.8069341521353708,0.02333538102345951,0.6061544980991815,0.004324537054350685,0.8018371636779767,0.15764819825735368,0.4783762115961343,40.03718500002287,"{""colsample_bytree"": 0.6316450253153781, ""learning_rate"": 0.03465663368311734, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 23, ""reg_alpha"": 1.6076869509498093e-07, ""reg_lambda"": 0.020698740657239353, ""subsample"": 0.7880300238933737}","[{""average_precision"": 0.6061544980991815, ""roc_auc"": 0.8018371636779767, ""brier_score"": 0.15471768208288492, ""log_loss"": 0.47192368316233363, ""fold"": 1, ""fit_seconds"": 7.548037799977465}, {""average_precision"": 0.6249031958351496, ""roc_auc"": 0.810037027999633, ""brier_score"": 0.15365831652887002, ""log_loss"": 0.4671953632574624, ""fold"": 2, ""fit_seconds"": 8.971447300020372}, {""average_precision"": 0.6550547435574268, ""roc_auc"": 0.8036177927055701, ""brier_score"": 0.16362905503634073, ""log_loss"": 0.49342373862234407, ""fold"": 3, ""fit_seconds"": 10.944687000010163}, {""average_precision"": 0.6644974821899348, ""roc_auc"": 0.8122446241583036, ""brier_score"": 0.15858773938131912, ""log_loss"": 0.48096206134239705, ""fold"": 4, ""fit_seconds"": 12.573012900014874}]",0.6316450253153781,0.03465663368311734,255.0,7.0,20.0,300.0,23.0,1.6076869509498093e-07,0.020698740657239353,0.7880300238933737,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,9,COMPLETE,0.6225542806603768,0.8014651027202185,0.025522443114826723,0.5911893390474506,0.004489461270223393,0.7963951647182977,0.1610346488442419,0.48954163960763936,119.88956720000715,"{""colsample_bytree"": 0.7450664691261113, ""learning_rate"": 0.06460988070244295, ""max_bin"": 255, ""max_depth"": -1, ""min_child_samples"": 15, ""n_estimators"": 650, ""num_leaves"": 92, ""reg_alpha"": 4.876205244696963e-07, ""reg_lambda"": 3.2078019690285254e-06, ""subsample"": 0.7380932381825939}","[{""average_precision"": 0.5911893390474506, ""roc_auc"": 0.7988234476666588, ""brier_score"": 0.15818006314272348, ""log_loss"": 0.4848094014872377, ""fold"": 1, ""fit_seconds"": 25.530793500016443}, {""average_precision"": 0.6050312209292444, ""roc_auc"": 0.8023039385674595, ""brier_score"": 0.1578756569480738, ""log_loss"": 0.48012251151048674, ""fold"": 2, ""fit_seconds"": 26.762226199993165}, {""average_precision"": 0.6392605527326544, ""roc_auc"": 0.7963951647182977, ""brier_score"": 0.16743641241524995, ""log_loss"": 0.5056803602950083, ""fold"": 3, ""fit_seconds"": 30.614290299999993}, {""average_precision"": 0.6547360099321577, ""roc_auc"": 0.8083378599284581, ""brier_score"": 0.16064646287092027, ""log_loss"": 0.48755428513782445, ""fold"": 4, ""fit_seconds"": 36.98225719999755}]",0.7450664691261113,0.06460988070244295,255.0,-1.0,15.0,650.0,92.0,4.876205244696963e-07,3.2078019690285254e-06,0.7380932381825939,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,10,COMPLETE,0.6436115593784975,0.8104337796541697,0.023700150521057815,0.6120334438348354,0.004035921067356348,0.8050797759373756,0.15646320922550208,0.4749287977019653,99.61752870000782,"{""colsample_bytree"": 0.6026482713142864, ""learning_rate"": 0.016068088781281856, ""max_bin"": 255, ""max_depth"": 8, ""min_child_samples"": 85, ""n_estimators"": 550, ""num_leaves"": 111, ""reg_alpha"": 6.954308878755984e-08, ""reg_lambda"": 0.05902360548322474, ""subsample"": 0.6934225025508511}","[{""average_precision"": 0.6120334438348354, ""roc_auc"": 0.8050797759373756, ""brier_score"": 0.1538777229279624, ""log_loss"": 0.4689971098357918, ""fold"": 1, ""fit_seconds"": 17.757414100022288}, {""average_precision"": 0.6298212138530581, ""roc_auc"": 0.8132793588152729, ""brier_score"": 0.15269704696821204, ""log_loss"": 0.4641997356085389, ""fold"": 2, ""fit_seconds"": 21.779919799999334}, {""average_precision"": 0.662404202962071, ""roc_auc"": 0.8081351154909908, ""brier_score"": 0.16201916495138463, ""log_loss"": 0.4891288421776405, ""fold"": 3, ""fit_seconds"": 34.24524119999842}, {""average_precision"": 0.6701873768640252, ""roc_auc"": 0.81524086837304, ""brier_score"": 0.15725890205444928, ""log_loss"": 0.47738950318588985, ""fold"": 4, ""fit_seconds"": 25.834953599987784}]",0.6026482713142864,0.016068088781281856,255.0,8.0,85.0,550.0,111.0,6.954308878755984e-08,0.05902360548322474,0.6934225025508511,,,,,,,,,,True
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,11,COMPLETE,0.6403707970036662,0.8092571218505487,0.022467160529289695,0.6108058249063896,0.004177309501586941,0.8041106343949784,0.15684054951009233,0.47579894369010567,71.4541211000178,"{""colsample_bytree"": 0.6575117223466638, ""learning_rate"": 0.019230801500140098, ""max_bin"": 63, ""max_depth"": 8, ""min_child_samples"": 90, ""n_estimators"": 550, ""num_leaves"": 100, ""reg_alpha"": 3.5424134633922487e-06, ""reg_lambda"": 0.00012564297137597017, ""subsample"": 0.6687158302177724}","[{""average_precision"": 0.6108058249063896, ""roc_auc"": 0.8041106343949784, ""brier_score"": 0.15403970787134091, ""log_loss"": 0.4693824534544864, ""fold"": 1, ""fit_seconds"": 13.65596450000885}, {""average_precision"": 0.6270037066614895, ""roc_auc"": 0.8125079761398035, ""brier_score"": 0.15286911661418398, ""log_loss"": 0.4646314681524891, ""fold"": 2, ""fit_seconds"": 16.016637000022456}, {""average_precision"": 0.6571068421232931, ""roc_auc"": 0.8062712023344445, ""brier_score"": 0.16266558590382385, ""log_loss"": 0.49067934585484885, ""fold"": 3, ""fit_seconds"": 17.91703869999037}, {""average_precision"": 0.6665668143234926, ""roc_auc"": 0.8141386745329678, ""brier_score"": 0.1577877876510205, ""log_loss"": 0.4785025072985981, ""fold"": 4, ""fit_seconds"": 23.864480899996124}]",0.6575117223466638,0.019230801500140098,63.0,8.0,90.0,550.0,100.0,3.5424134633922487e-06,0.00012564297137597017,0.6687158302177724,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,12,COMPLETE,0.635722160476682,0.8057425491129074,0.023312439379477305,0.6037943795769442,0.004599493941110848,0.8000112623431112,0.15821380520836148,0.47979019394021394,60.221078400005354,"{""colsample_bytree"": 0.6657425376551179, ""learning_rate"": 0.015790218691904962, ""max_bin"": 255, ""max_depth"": 5, ""min_child_samples"": 70, ""n_estimators"": 600, ""num_leaves"": 108, ""reg_alpha"": 3.4325378198936685e-08, ""reg_lambda"": 3.9511331140543775, ""subsample"": 0.6742160132534254}","[{""average_precision"": 0.6037943795769442, ""roc_auc"": 0.8000112623431112, ""brier_score"": 0.1554472114367014, ""log_loss"": 0.4735543836155094, ""fold"": 1, ""fit_seconds"": 11.986800400016364}, {""average_precision"": 0.6239705530928545, ""roc_auc"": 0.8090377676096855, ""brier_score"": 0.15415505655443718, ""log_loss"": 0.4686648117212668, ""fold"": 2, ""fit_seconds"": 14.607107200019527}, {""average_precision"": 0.6519738599160372, ""roc_auc"": 0.8026046648179772, ""brier_score"": 0.16411958320027467, ""log_loss"": 0.4944858942028806, ""fold"": 3, ""fit_seconds"": 16.08064979998744}, {""average_precision"": 0.6631498493208917, ""roc_auc"": 0.8113165016808561, ""brier_score"": 0.15913336964203273, ""log_loss"": 0.4824556862211988, ""fold"": 4, ""fit_seconds"": 17.54652099998202}]",0.6657425376551179,0.015790218691904962,255.0,5.0,70.0,600.0,108.0,3.4325378198936685e-08,3.9511331140543775,0.6742160132534254,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,13,COMPLETE,0.6409841752469976,0.8083150555843942,0.022766197037030596,0.6115356640120921,0.004474849878656823,0.802490524587133,0.157636799626392,0.4780840407090106,62.723531199997524,"{""colsample_bytree"": 0.709066806858046, ""learning_rate"": 0.0171693992418881, ""max_bin"": 255, ""max_depth"": 8, ""min_child_samples"": 65, ""n_estimators"": 250, ""num_leaves"": 116, ""reg_alpha"": 3.5338621793813235e-06, ""reg_lambda"": 5.892489654480695e-05, ""subsample"": 0.7429524497914287}","[{""average_precision"": 0.6115356640120921, ""roc_auc"": 0.802490524587133, ""brier_score"": 0.15514677904832178, ""log_loss"": 0.472371808947771, ""fold"": 1, ""fit_seconds"": 12.277255199995125}, {""average_precision"": 0.6265391125564805, ""roc_auc"": 0.8119055197094374, ""brier_score"": 0.1535884168939113, ""log_loss"": 0.46679922316254907, ""fold"": 2, ""fit_seconds"": 14.913888999988558}, {""average_precision"": 0.6588077750894685, ""roc_auc"": 0.8055087610721915, ""brier_score"": 0.16325316931309033, ""log_loss"": 0.4924044131879805, ""fold"": 3, ""fit_seconds"": 17.574866000009933}, {""average_precision"": 0.6670541493299489, ""roc_auc"": 0.8133554169688152, ""brier_score"": 0.15855883325024456, ""log_loss"": 0.48076071753774197, ""fold"": 4, ""fit_seconds"": 17.957521000003908}]",0.709066806858046,0.0171693992418881,255.0,8.0,65.0,250.0,116.0,3.5338621793813235e-06,5.892489654480695e-05,0.7429524497914287,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,14,COMPLETE,0.6381240281039509,0.8082181057016028,0.024032646282100355,0.6044495827112562,0.004891862326886032,0.802078337330136,0.15711835361921803,0.47660912004655986,69.03037409999524,"{""colsample_bytree"": 0.6293934927006443, ""learning_rate"": 0.0324460786647608, ""max_bin"": 63, ""max_depth"": 8, ""min_child_samples"": 65, ""n_estimators"": 700, ""num_leaves"": 39, ""reg_alpha"": 4.695517349798408e-07, ""reg_lambda"": 8.113574014655825, ""subsample"": 0.7618349502043043}","[{""average_precision"": 0.6044495827112562, ""roc_auc"": 0.802078337330136, ""brier_score"": 0.15464588798006143, ""log_loss"": 0.4711571452430753, ""fold"": 1, ""fit_seconds"": 13.171238000009907}, {""average_precision"": 0.6275180396063673, ""roc_auc"": 0.8124753879114633, ""brier_score"": 0.15276469255434663, ""log_loss"": 0.464278105901739, ""fold"": 2, ""fit_seconds"": 18.68698769999901}, {""average_precision"": 0.6538051943444545, ""roc_auc"": 0.804793104197133, ""brier_score"": 0.16327859882926485, ""log_loss"": 0.4921448745641973, ""fold"": 3, ""fit_seconds"": 17.695511500001885}, {""average_precision"": 0.6667232957537255, ""roc_auc"": 0.8135255933676787, ""brier_score"": 0.15778423511319917, ""log_loss"": 0.478856354477228, ""fold"": 4, ""fit_seconds"": 19.47663689998444}]",0.6293934927006443,0.0324460786647608,63.0,8.0,65.0,700.0,39.0,4.695517349798408e-07,8.113574014655825,0.7618349502043043,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,15,COMPLETE,0.6328212518132669,0.8037444095988597,0.02411995728037901,0.6003576863208441,0.004434532038634722,0.7988209825185959,0.15884698356127466,0.48188722678398577,30.586719100014307,"{""colsample_bytree"": 0.6191286287257917, ""learning_rate"": 0.035986101876182036, ""max_bin"": 255, ""max_depth"": 4, ""min_child_samples"": 95, ""n_estimators"": 350, ""num_leaves"": 120, ""reg_alpha"": 8.109654025741489e-05, ""reg_lambda"": 0.1658343197583995, ""subsample"": 0.7435814723270755}","[{""average_precision"": 0.6003576863208441, ""roc_auc"": 0.7988209825185959, ""brier_score"": 0.15590089415123023, ""log_loss"": 0.4750735692012072, ""fold"": 1, ""fit_seconds"": 6.202200300002005}, {""average_precision"": 0.6194813148172154, ""roc_auc"": 0.8063892813922631, ""brier_score"": 0.15484884401974788, ""log_loss"": 0.4708855790570067, ""fold"": 2, ""fit_seconds"": 7.025381499988725}, {""average_precision"": 0.6509130169253028, ""roc_auc"": 0.8001492966008843, ""brier_score"": 0.164855607027947, ""log_loss"": 0.4971003600347019, ""fold"": 3, ""fit_seconds"": 8.104008200025419}, {""average_precision"": 0.6605329891897055, ""roc_auc"": 0.8096180778836953, ""brier_score"": 0.1597825890461735, ""log_loss"": 0.48448939884302733, ""fold"": 4, ""fit_seconds"": 9.255129099998157}]",0.6191286287257917,0.035986101876182036,255.0,4.0,95.0,350.0,120.0,8.109654025741489e-05,0.1658343197583995,0.7435814723270755,,,,,,,,,,False
stage5__lightgbm__common_baseline__v1,lightgbm,common_baseline,16,COMPLETE,0.6421646328165473,0.8103838857023563,0.023376335406484,0.6116543044630962,0.0038940925936802235,0.8055999705148957,0.15648610167780136,0.4750457838317735,133.28309489999083,"{""colsample_bytree"": 0.6321519089046806, ""learning_rate"": 0.016675486653585554, ""max_bin"": 255, ""max_depth"": -1, ""min_child_samples"": 70, ""n_estimators"": 650, ""num_leaves"": 107, ""reg_alpha"": 0.0015765518061693217, ""reg_lambda"": 0.0055004218986983615, ""subsample"": 0.6305186907312897}","[{""average_precision"": 0.6116543044630962, ""roc_auc"": 0.8055999705148957, ""brier_score"": 0.15370458946293863, ""log_loss"": 0.4688111735525613, ""fold"": 1, ""fit_seconds"": 27.09757979999995}, {""average_precision"": 0.6276908385852564, ""roc_auc"": 0.8127414311550467, ""brier_score"": 0.15284582948946684, ""log_loss"": 0.46456821988735153, ""fold"": 2, ""fit_seconds"": 32.4164005999919}, {""average_precision"": 0.6605545160227632, ""roc_auc"": 0.8077716079581481, ""brier_score"": 0.16228391969697498, ""log_loss"": 0.4896381679687426, ""fold"": 3, ""fit_seconds"": 35.20682540000416}, {""average_precision"": 0.6687588721950732, ""roc_auc"": 0.815422533181335, ""brier_score"": 0.15711006806182498, ""log_loss"": 0.47716557391843856, ""fold"": 4, ""fit_seconds"": 38.562289099994814}]",0.6321519089046806,0.016675486653585554,255.0,-1.0,70.0,650.0,107.0,0.0015765518061693217,0.0055004218986983615,0.6305186907312897,,,,,,,,,,False
